,precision,recall,f1-score,support
DoS,0.9611552102685357,0.7630732099758648,0.8507362284176695,7458.0
Normal,0.6336102921468775,0.9737411183194316,0.7676882484270348,9711.0
Probe,0.8553571428571428,0.5935563816604709,0.7008046817849305,2421.0
R2L,0.875,0.005083514887436456,0.010108303249097473,2754.0
U2R,0.3333333333333333,0.005,0.009852216748768473,200.0
accuracy,0.7362934705464869,0.7362934705464869,0.7362934705464869,0.7362934705464869
macro avg,0.7316911957211778,0.4680908449686408,0.4678379357255002,22544.0
weighted avg,0.7926065212360218,0.7362934705464869,0.6887095554077802,22544.0
